e(t) = 0.0     t0.0
e(t) = 3.0330827170077512E-5     t0.02
e(t) = 1.2097463335042358E-4     t0.04
e(t) = 2.708882082834707E-4     t0.06
e(t) = 4.7834197577834026E-4     t0.08
e(t) = 7.409327529088738E-4     t0.1
e(t) = 0.0010556000526423803     t0.12
e(t) = 0.0014186448917978822     t0.14
e(t) = 0.0018257504018263648     t0.16
e(t) = 0.0022720041713665817     t0.18
e(t) = 0.002751923082612018     t0.2
e(t) = 0.003259482294158511     t0.22
e(t) = 0.003788150799945933     t0.24
e(t) = 0.004330936487008691     t0.26
e(t) = 0.004880443684611102     t0.28
e(t) = 0.005428945761421139     t0.3
e(t) = 0.005968474378288374     t0.32
e(t) = 0.006490925616793902     t0.34
e(t) = 0.006988181529395315     t0.36
e(t) = 0.007452243905270259     t0.38
e(t) = 0.007875375456010802     t0.4
e(t) = 0.008250242430854107     t0.42
e(t) = 0.008570052064196934     t0.44
e(t) = 0.008828678357135727     t0.46
e(t) = 0.009020770521950364     t0.48
e(t) = 0.009141839890850958     t0.5
e(t) = 0.009188323026196859     t0.52
e(t) = 0.009245732037564451     t0.54
e(t) = 0.009233720923081716     t0.56
e(t) = 0.009149099796421409     t0.58
e(t) = 0.008991944200695094     t0.6
e(t) = 0.008763560430255439     t0.62
e(t) = 0.008466433726183525     t0.64
e(t) = 0.008104117877982757     t0.66
e(t) = 0.007950401821352862     t0.68
e(t) = 0.008046425193669878     t0.7000000000000001
e(t) = 0.008260806029450105     t0.72
e(t) = 0.008422787765964161     t0.74
e(t) = 0.008528378455376288     t0.76
e(t) = 0.008772809819224604     t0.78
e(t) = 0.008953795795672584     t0.8
e(t) = 0.009066410670709658     t0.8200000000000001
e(t) = 0.009105932973400753     t0.84
e(t) = 0.009067864797435099     t0.86
e(t) = 0.008948008238883365     t0.88
e(t) = 0.008742594094143255     t0.9
e(t) = 0.008448449805068037     t0.92
e(t) = 0.0080631873868943     t0.9400000000000001
e(t) = 0.0075853885698117865     t0.96
e(t) = 0.007086482061846165     t0.98
e(t) = 0.006629879805293382     t1.0
e(t) = 0.0071215521875576115     t1.02
e(t) = 0.0076811520994164995     t1.04
e(t) = 0.008341135149430745     t1.06
e(t) = 0.008967162849630561     t1.08
e(t) = 0.009559589274620639     t1.1
e(t) = 0.010118737579458803     t1.12
e(t) = 0.0106447355267755     t1.1400000000000001
e(t) = 0.01113740696270199     t1.16
e(t) = 0.011596230945605274     t1.18
e(t) = 0.012122608164690851     t1.2
e(t) = 0.012866497539682609     t1.22
e(t) = 0.013573876800724846     t1.24
e(t) = 0.014242154137249656     t1.26
e(t) = 0.014869357497126562     t1.28
e(t) = 0.015454028801104275     t1.3
e(t) = 0.016349126812673666     t1.32
e(t) = 0.017236436682051007     t1.34
e(t) = 0.018069894680101117     t1.36
e(t) = 0.01884289225724277     t1.3800000000000001
e(t) = 0.01954916034467331     t1.4000000000000001
e(t) = 0.02018291562861611     t1.42
e(t) = 0.020952069346821735     t1.44
e(t) = 0.021658668995267277     t1.46
e(t) = 0.022263763879117764     t1.48
e(t) = 0.022761281271213334     t1.5
e(t) = 0.023145669594336095     t1.52
e(t) = 0.02341200200124449     t1.54
e(t) = 0.023556106957972535     t1.56
e(t) = 0.023574714020954603     t1.58
e(t) = 0.023465599580239343     t1.6
e(t) = 0.023227715924921392     t1.62
e(t) = 0.02286128773009215     t1.6400000000000001
e(t) = 0.02236786282978623     t1.6600000000000001
e(t) = 0.021750308525985147     t1.68
e(t) = 0.021012750089652588     t1.7
e(t) = 0.020160453827983357     t1.72
e(t) = 0.019199662408097534     t1.74
e(t) = 0.018137394417802013     t1.76
e(t) = 0.016981222955857814     t1.78
e(t) = 0.015739049146143075     t1.8
e(t) = 0.014418885869171744     t1.82
e(t) = 0.01302866492726355     t1.84
e(t) = 0.011576077703460266     t1.86
e(t) = 0.01008498341558755     t1.8800000000000001
e(t) = 0.00862379812662853     t1.9000000000000001
e(t) = 0.007095389821290926     t1.92
e(t) = 0.005503139339489669     t1.94
e(t) = 0.0038507167706360104     t1.96
e(t) = 0.002142187404045537     t1.98
e(t) = 4.671695949801796E-4     t2.0
e(x) = 0.0  x   0.0
e(x) = 4.671695949801796E-4  x   0.1
e(x) = 3.8460959095341224E-4  x   0.2
e(x) = 1.875473299793734E-4  x   0.30000000000000004
e(x) = 2.2094819079169353E-4  x   0.4
e(x) = 3.8213126663524797E-4  x   0.5
e(x) = 4.1397623851820164E-4  x   0.6000000000000001
e(x) = 2.7269439735710943E-4  x   0.7000000000000001
e(x) = 9.615515676453246E-5  x   0.8
e(x) = 3.9231926740490586E-5  x   0.9
e(x) = 0.0  x   1.0
